operation,language,kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),48.21,2026-09-10T01:15:55.163100,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),47.854,2026-09-10T01:15:55.163108,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),47.208,2026-09-10T01:15:55.163117,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),49.437,2026-09-10T01:15:55.163125,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),46.918,2026-09-10T01:15:55.163134,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),45.366,2026-09-10T01:15:55.163143,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.429,2026-09-10T01:15:55.163151,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),499.156,2026-09-10T01:15:55.163160,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),45.722,2026-09-10T01:15:55.163168,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.59,2026-09-10T01:15:55.163177,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),43.944,2026-09-10T01:15:55.163185,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.009,2026-09-10T01:15:55.163194,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.009,2026-09-10T01:15:55.163203,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.009,2026-09-10T01:15:55.163212,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.009,2026-09-10T01:15:55.163220,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),533.148,2026-09-10T01:15:55.163229,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),45.851,2026-09-10T01:15:55.163237,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.784,2026-09-10T01:15:55.163245,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.008,2026-09-10T01:15:55.163254,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.009,2026-09-10T01:15:55.163262,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.042,2026-09-10T01:15:55.163271,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.042,2026-09-10T01:15:55.163279,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.041,2026-09-10T01:15:55.163287,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.009,2026-09-10T01:15:55.163296,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),295.332,2026-09-10T01:15:55.163305,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),45.463,2026-09-10T01:15:55.163313,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),44.429,2026-09-10T01:15:55.163322,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
matmul,python,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params),43.977,2026-09-10T01:15:55.163331,"128,1,1","128,1,1",126,30720,0,30720,,,,,,,,,,,,,,,,,,,
